"","ObjectID","GlobalID","Form_Version","Team.Name","Region","Incident_UUID","Incident.Number","Type.of.Incident","Incident.Start.Date.and.Time","Number.of.Operational.Periods","Primary.Response.Area","Number.of.Volunteers.Supporting.the.Incident","Total.Volunteer.Hours.on.the.Incident","Total.Volunteer.Mileage","Aircraft.Used","Area.Type","Land.Ownership","Total.Number.of.Subjects","Subject.Category","Subject.1..Age","Subject.1..Gender","Subject.1..Level.of.Fitness","Subject.1..Level.of.Experience","Number.of.Subjects.Found.Alive.and.Well","x","y"
"433",7615,"44b99e88-d7e8-4bf2-805c-68024140d987","2.1.0-MRA","Fremont_SAR","Rocky Mountain Region","12de00e0-52e4-4caa-9e7f-bdd847c65b4a","2019-15","SEARCH","5/10/2019 11:00:00 PM",1,"YES",20,21,300,"","WILDERNESS","BLM",1,"HIKING",5,"FEMALE","GOOD","UNKNOWN",1,-105.207267614,38.538132902
"442",3631,"aab97b4f-6471-4292-8dcf-f506921e8b77","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","d4a42300-58f6-4f03-bfc2-a2f4c9a5ad5d","2022048","RESCUE","5/22/2022 5:41:00 PM",1,"YES",14,28,98,"","WILDERNESS","CITY",1,"HIKING",29,"MALE","","",0,-105.293814716949,39.9897331882546
"467",20820,"8f2b5c3a-ca6f-489c-8422-9342572e6af2","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","586cc941-df64-46f3-8e98-72a2a6c8c39b","Greyrock Lost Hiker","SEARCH","8/12/2021 1:00:00 AM",1,"YES",11,63,324,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",45,"FEMALE","UNKNOWN","UNKNOWN",1,-105.28387,40.69498
"506",7638,"4dc5e412-aae1-4c56-8734-f8e7d477487a","2.1.0-MRA","Fremont_SAR","Rocky Mountain Region","5792c313-b605-4c1d-baab-b043f98a537b","2019-35","SEARCH","9/22/2019 4:00:00 PM",1,"YES",5,5,75,"","RURAL","PRIVATE",1,"CHILD_AGE_0-15",2,"FEMALE","UNKNOWN","UNKNOWN",1,-105.122697724,38.4889810510001
"508",6897,"aa073562-4213-48a8-af6c-da4b525ba0d0","2.1.1-MRA","Garfield_County_SAR","Rocky Mountain Region","d8781c3f-89fb-4d7e-8dfa-0a0844ad6d4b","2019.01.23","RESCUE","1/24/2019 3:15:00 AM",1,"YES",6,36,100,"","RURAL","NATIONAL_FOREST",1,"HUNTING",65,"MALE","POOR","POOR",0,-107.77895,39.6447000000001
"573",6210,"d05165b4-94af-4434-a048-da6f827506de","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","6ab5655d-eb44-40ea-b845-14eca108f33e","Alpine Mutual Aid","SEARCH","7/4/2019 8:20:00 PM",1,"NO",1,1,0,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",43,"FEMALE","","",0,-105.4,39.2400000000001
"580",7784,"244ea0ed-5f73-422d-9e30-4c758ffc8757","2.1.1-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","ca2a6a14-90c0-43b6-805b-3947ebdd3a5a","20P008542 Thompson Creek Injured Hiker","RESCUE","5/14/2020 5:00:00 PM",1,"YES",14,65,100,"","WILDERNESS","BLM",1,"HIKING",72,"FEMALE","UNKNOWN","UNKNOWN",1,-107.2666,39.3131000000001
"597",21112,"eb8bb573-caae-405c-868b-17ef699972eb","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","505b3b50-be88-40e9-bb00-f7ec24eec762","Missing 21 YOF Fort Collins","SEARCH","10/25/2022 11:06:00 AM",1,"YES",14,63,420,"","SUBURBAN","CITY",1,"OTHER",21,"FEMALE","UNKNOWN","UNKNOWN",1,-105.076221527924,40.5844256798674
"598",20891,"ae846ea1-5c87-4516-8623-ce8887c3dcda","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","e7dbb788-e2e7-4628-8523-183608d284c1","Boulder Assist Brainard Missing 82 YOF - Ops 1","SEARCH","8/25/2022 1:38:00 AM",2,"NO",7,63,910,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",82,"FEMALE","UNKNOWN","UNKNOWN",0,-105.53082,40.08081
"634",4109,"563b5232-8ba4-4235-a560-2cb6305fef97","","Fremont_SAR","Rocky Mountain Region","9C345378-3E5A-4650-82E7-93E1A8CBFD88","2018-11","SEARCH","3/25/2018 6:00:00 PM",1,"YES",2,6,90,"AIRCRAFT-UAV","RURAL","PRIVATE",1,"OTHER",25,"MALE","GOOD","FAIR",1,-105.16321,38.4111800000001
"650",3765,"d287eb39-fff5-4ef9-8687-bee148686411","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","A9F7AA10-5B9E-4D39-84B3-3C2DC535B8F4","Tigiwon Rd. with nova Snowmobile","RESCUE","12/29/2018 9:15:00 PM",1,"YES",5,15,50,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWMOBILING",68,"FEMALE","UNKNOWN","UNKNOWN",1,-106.43295,39.5005
"726",9576,"3eb5ac08-ea5e-41ba-9a6a-fa94a514e852","2.2.0-MRA","Larimer_County_SAR","Rocky Mountain Region","5898c926-3646-4c7e-bef8-4a4918c5578a","Wellington missing teens","SEARCH","3/17/2020 12:30:00 PM",1,"YES",21,294,198,"","RURAL","COUNTY",2,"CHILD_AGE_0-15",14,"MALE","","",0,-105.06007597,40.607149371
"781",3616,"a4c0f960-9ef3-4aa3-8e35-6da8aba8cfb6","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","24dca98a-f5e8-4a54-b31e-71e322d05c28","2022033","RESCUE","4/30/2022 7:46:00 PM",1,"YES",14,14,98,"","WILDERNESS","CITY",1,"HIKING",52,"FEMALE","","",0,-105.291046677246,39.9842748896163
"858",22494,"254e44e2-8250-4975-8606-2582873074c6","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","ee51867c-87f8-4c8c-8d89-e8df1b64958c","2022104","RESCUE","8/2/2022 11:53:00 PM",1,"YES",12,14,264,"","WILDERNESS","COUNTY",1,"HIKING",45,"MALE","","",0,-105.327836,39.94888
"920",5677,"eb85dc7b-2997-44a7-b389-9c355b851f2f","","Chaffee_County_SAR_North","Rocky Mountain Region","3CF3A696-633E-4472-8E14-F1098F81B7A9","030-2018","RESCUE","7/24/2018 9:58:00 PM",1,"YES",18,78,384,"","WILDERNESS","NATIONAL_FOREST",2,"FOUR_WHEEL_DRIVING",70,"FEMALE","UNKNOWN","UNKNOWN",0,-106.37016,38.62438
"977",3857,"4e7588be-4f46-4656-829e-0eea2bd749e4","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","84EAEF6E-EBCD-45A9-8618-8812495E4D89","00812","PLB_ACTIVATION","1/4/2019 1:30:00 AM",1,"YES",10,65,20,"","WILDERNESS","BLM",2,"SNOW_SHOEING",15,"MALE","FAIR","POOR",2,-106.35917,39.6963900000001
"978",8926,"29065f2c-cf0a-4829-811b-cb9df778278e","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","22152859-e547-4a2b-8b56-1dc778cc4c6a","01661","RESCUE","10/20/2020 1:09:00 PM",1,"YES",3,3,0,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",27,"MALE","UNKNOWN","UNKNOWN",2,-106.313597048,39.660983908
"984",22497,"9aa6038a-c9fa-42d6-8434-49ee089a06ca","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","da6c51aa-80bd-4d60-865a-56eb958bc24e","2022107","RESCUE","8/6/2022 7:39:00 PM",1,"YES",14,65,224,"","WILDERNESS","CITY",1,"HIKING",39,"FEMALE","","",0,-105.295694,39.95454
"991",9476,"d6a47675-4adc-4201-8e9b-29b01389d7f6","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","8f2b99c7-75f8-4c07-9a7e-b16c40ddf0bd","Rosalie Peak","SEARCH","10/11/2020 9:45:00 PM",1,"YES",10,20,30,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",31,"MALE","EXCELLENT","POOR",2,-105.5995,39.5541000000001
"1037",7947,"3671804c-8442-4555-a4c1-e92b979887c9","2.1.2-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","08618be9-ea21-403a-9278-1ef595030497","20P12378 Sky Mtn Trail Biker Pelvic Injury","RESCUE","7/13/2020 3:20:00 AM",1,"YES",14,24,0,"","WILDERNESS","STATE",1,"BIKING",49,"FEMALE","GOOD","GOOD",0,-106.88941,39.2294900000001
"1043",4498,"15b8c77f-917c-4a9e-b1fa-16c97b11bd27","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","796017FC-2E15-4F29-ADE2-41D369E83495","00418","SEARCH","2/28/2018 5:00:00 PM",1,"YES",14,119,0,"","WILDERNESS","NATIONAL_FOREST",2,"SNOW_SKIING",54,"MALE","UNKNOWN","UNKNOWN",2,-106.365,39.6680000000001
"1056",23482,"03e60cab-0551-43ab-8e92-d327eea2e5f7","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","d79aa795-67a1-4407-a169-03d648b36e89","Pinewood Springs Search 14 YOM Runaway","SEARCH","1/5/2023 6:02:00 AM",1,"YES",5,3,5,"","RURAL","COUNTY",1,"RUNAWAY",14,"MALE","UNKNOWN","UNKNOWN",1,-105.3567,40.2733
"1121",6224,"61df3704-919e-4064-8488-13b54fb3218a","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","a0127f53-0318-4588-b342-373a9fee2dc1","Mt Cameron Cliffed Out","RESCUE","7/25/2019 8:03:00 PM",1,"YES",8,64,196,"","WILDERNESS","NATIONAL_FOREST",2,"MOUNTAINEERING",29,"MALE","GOOD","FAIR",2,-106.12,39.3500000000001
"1203",8451,"7fb44f3d-df1a-44fd-9ed5-a6415a19e833","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","8de0c018-c11d-4a02-b672-2427bd39b95c","Jefferson Lake Overdue","SEARCH","12/13/2020 2:15:00 AM",1,"YES",3,4,55,"","WILDERNESS","NATIONAL_FOREST",2,"FISHING",17,"MALE","GOOD","FAIR",2,-105.82877,39.4103000000001
"1205",7787,"5cc8a25c-626f-41fe-a735-14fef26dd336","2.1.1-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","e56735ab-7b81-4a9c-903c-f17e745d3125","20P006174 Thomas Lakes Device Activation","SEND_ACTIVATION","3/29/2020 6:30:00 PM",1,"YES",3,6,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",31,"FEMALE","UNKNOWN","UNKNOWN",1,-107.155724524,39.2617576810001
"1222",22649,"01cb6d96-b0f5-4e44-8031-d422c9dad1b2","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","4e8fa0fc-07ab-4f7d-ac1a-026a3d95a160","2022175","RESCUE","11/30/2022 8:05:00 PM",1,"YES",10,25,470,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",63,"MALE","","",0,-105.5342,40.07544
"1284",1269,"167bc6eb-5f64-45c7-8f51-cf2c25f04b4b","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","ac3c7201-6b77-4ee9-89da-38f9e38e5f6b","21P012521 Buckskin Pass Sick Female","RESCUE","9/16/2021 6:45:00 AM",1,"YES",9,55,60,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",34,"FEMALE","UNKNOWN","UNKNOWN",0,-106.976926,39.09124
"1297",22660,"502488e2-14ea-482a-8539-16c39565bd49","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","eefe21f1-06a9-4757-87e2-91d8c3ed4987","2023006","SEARCH","2/27/2023 4:33:00 PM",2,"YES",25,258,995,"AIRCRAFT-HELICOPTER,AIRCRAFT-UAV","WILDERNESS","NATIONAL_FOREST",1,"SNOWBOARDING",57,"MALE","EXCELLENT","FAIR",1,-105.578573474436,39.9809578343864
"1338",21186,"831de675-7ee7-43d5-84fb-1532c3f887b3","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","5926188d-b4f3-4590-bb81-d215d14fcf58","2022-33","SEARCH","11/22/2022 3:00:00 PM",1,"YES",7,42,200,"","RURAL","STATE",1,"OTHER",50,"FEMALE","UNKNOWN","UNKNOWN",0,-105.002481861572,38.3876371856113
"1362",22637,"6be15204-841e-445c-82ae-719aff7954b3","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","2da03d8f-1720-48b6-a00a-7f5a47d51252","2022162","SEARCH","10/25/2022 5:10:00 AM",1,"YES",8,45,320,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",75,"MALE","","",1,-105.477623089908,40.0471658907615
"1421",10678,"f50de29d-3962-4e34-ad8d-d784f14cd1a9","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","58dfc69b-bf77-4ed5-a769-b1a9e0a65dbf","21P003959 Walshes-Northstar OB Skiers","SEARCH","4/6/2021 10:00:00 PM",1,"YES",16,56,20,"AIRCRAFT-UAV","WILDERNESS","NATIONAL_FOREST",2,"SNOW_SKIING",19,"MALE","UNKNOWN","UNKNOWN",2,-106.8009,39.1689400000001
"1430",22666,"f1cc838c-240d-4ecf-88e0-e87a8da5f482","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","56c61bb7-62f8-4c06-9c4c-787b9016da37","2023012","RESCUE","3/19/2023 2:56:00 PM",1,"YES",8,21,56,"","WILDERNESS","CITY",1,"CLIMBING",52,"MALE","","",1,-105.292448142282,39.98968922374
"1461",22543,"c7b0977f-a139-45f8-8f38-661390494cbc","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","efeceda7-d95c-49d8-816c-08f1c0474df5","2022147","RESCUE","9/16/2022 6:00:00 PM",1,"YES",10,5,100,"","WILDERNESS","CITY",1,"HIKING",30,"MALE","","",0,-105.30069,40.02727
"1470",8145,"cd1da30e-a05a-4431-a47c-1bd771576667","2.2.0-MRA","Larimer_County_SAR","Rocky Mountain Region","d9d869a9-5269-445c-b70f-6c58d32c7679","Red Mtn Rehab","SEARCH","11/16/2020 12:25:00 AM",1,"YES",13,15,492,"","WILDERNESS","NATIONAL_FOREST",3,"RUNAWAY",14,"FEMALE","","",3,-105.513331,40.30051
"1479",8737,"e610abbd-9144-44ad-89d3-d9832649fc70","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","d17455a4-f897-448e-89fb-baf06c8b4d63","02292020_1","SEARCH","2/29/2020 4:00:00 PM",1,"NO",2,17,150,"","RURAL","OTHER",1,"CHILD_AGE_0-15",12,"MALE","UNKNOWN","UNKNOWN",0,-104.734786106,38.7605411430001
"1488",6207,"de7f5d47-8d0f-4265-ba93-54bb021d60fe","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","c7979281-c962-4b04-b06f-85786f35af23","Overdue Party","SEARCH","6/25/2019 11:27:00 PM",3,"YES",1,76,184,"","RURAL","NATIONAL_FOREST",1,"CAMPING",58,"MALE","GOOD","GOOD",1,-105.62,39.22
"1603",7438,"48a3b537-cd74-4619-83db-6e5f5caa6928","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","C613186F-5733-4172-9004-B43D25E2A7A2","01073","RESCUE","6/17/2019 10:30:00 PM",1,"YES",8,44,240,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",72,"FEMALE","POOR","POOR",3,-106.597006526,39.6449624410001
"1606",7930,"787d5246-49ee-4951-9878-4b17dca9ebab","2.1.1-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","aa5783bd-d989-4021-afb8-d0110cfb9e48","20P011681 4 Pass Loop","SEARCH","7/2/2020 5:00:00 PM",1,"YES",14,46,30,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",33,"MALE","FAIR","FAIR",0,-106.9853,39.0976900000001
"1638",7618,"3893ad5d-60df-4141-8bd8-e6b72027fe9a","2.1.0-MRA","Fremont_SAR","Rocky Mountain Region","d0f5a719-6148-48b9-b420-3e7fda0ace10","2019-18","RESCUE","5/25/2019 7:00:00 PM",1,"YES",15,81,225,"","WILDERNESS","BLM",1,"HIKING",60,"FEMALE","POOR","POOR",1,-105.28083,38.3361100000001
"1659",4117,"158a4e1e-f15f-435f-875f-0faa35242406","","Fremont_SAR","Rocky Mountain Region","C56127BF-7F94-4FB0-8385-D352161414F4","2018-19","SWIFTWATER_RESCUE","5/29/2018 3:00:00 PM",1,"YES",1,2,0,"","RURAL","STATE",1,"OTHER",25,"MALE","GOOD","FAIR",1,-105.14428,38.4097100000001
"1676",4492,"5c2f7c4c-636b-45c1-9c59-2e3a3b617b85","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","4E1B74E8-6D82-478A-A37A-548557254BE3","00340","SEARCH","1/14/2018 12:30:00 AM",1,"YES",13,71,0,"","WILDERNESS","BLM",1,"SNOWMOBILING",53,"MALE","UNKNOWN","UNKNOWN",1,-106.55135,39.7239000000001
"1731",8849,"8b5f99ab-7d1d-4a66-9155-71369ba82d07","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","cac31e51-6a6d-45bc-a669-367f07eee5a8","01688","SEARCH","11/14/2020 7:15:00 PM",1,"YES",1,2,0,"","WILDERNESS","NATIONAL_FOREST",2,"FOUR_WHEEL_DRIVING",0,"MALE","","",0,-106.24225,39.5472100000001
"1791",8743,"13294665-29ed-48b3-bbb4-351c247dd7bc","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","9316f8a0-cb1d-4134-b6c9-3587d22dfdbf","05162020_2","RECOVERY","5/16/2020 9:00:00 PM",1,"YES",10,20,200,"","WILDERNESS","NATIONAL_FOREST",1,"DRIVING",70,"MALE","UNKNOWN","UNKNOWN",0,-105.212367923,38.6383656950001
"1817",8620,"0b3ec134-f75e-4ea7-aba8-ca39e38ce4c7","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","c7175afa-a137-4db3-9780-e24b4c6237ad","010621 Horseshoe CG Missing Person","SEARCH","1/6/2021 8:30:00 PM",1,"YES",2,2,0,"","RURAL","NATIONAL_FOREST",1,"CAMPING",60,"MALE","UNKNOWN","UNKNOWN",0,-106.0842,39.1995000000001
"1818",8030,"9714e5f2-876e-4682-9f14-5a07c0476398","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","7ac1370b-ff65-47a8-8b67-27d887b36617","Springer Gulch Campground","SEARCH","7/28/2020 10:45:00 PM",1,"YES",8,1,0,"","RURAL","NATIONAL_FOREST",1,"HIKING",73,"MALE","FAIR","GOOD",1,-105.4678,38.9067000000001
"1819",2079,"e255ab40-cba4-460c-8a3c-44276f50d53d","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","f13f73e7-f209-43eb-b043-538fd4aef40d","02072021_1","SEARCH","2/8/2021 3:00:00 PM",1,"YES",8,16,960,"","RURAL","PRIVATE",1,"RUNAWAY",17,"MALE","GOOD","FAIR",1,-105.841145912056,38.4522070664625
"1823",2620,"ae618835-3560-4141-8076-0a7dbcc7057e","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","0981a615-1c51-44bf-8dfb-e55699452727","North Fork TH","RESCUE","3/7/2021 12:25:00 AM",1,"YES",2,20,144,"","WILDERNESS","NATIONAL_FOREST",2,"SNOW_SHOEING",32,"MALE","EXCELLENT","GOOD",2,-105.515353,39.30649
"1834",2743,"f39ae3d5-a1da-4560-8fc9-b6bb16a13f71","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","1e2590ff-4d15-4b86-bdea-a4f3952c9cc7","2022001","RESCUE","1/2/2022 7:54:00 PM",1,"YES",15,67,345,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",35,"FEMALE","","",0,-105.589739546747,39.9858459136895
"1840",6579,"0aee3ec4-044b-4c6b-9a28-44bdebd2b6a8","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","16f2259e-d197-4b5b-bebd-15fc6076bd75","2019.03.10 Assist to ROMO for Pruitt search (#4)","SEARCH","3/10/2019 2:00:00 PM",1,"NO",5,53,450,"","WILDERNESS","NATIONAL_PARK/MONUMENT",1,"HIKING",70,"MALE","","",0,-105.559316307,40.363954081
